CaseName,EventType,TargetBus,CaseIndex,PredBus,Top3Pred,NearestEventType,NearestDistance,Evaluation,ExactMatch,Top3Match,OneHopMatch,is_1hop
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,0,1,"[1, 5, 2]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,1,2,"[2, 5, 1]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,2,3,"[3, 2, 5]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,3,4,"[4, 6, 2]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,4,5,"[5, 2, 1]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus06,SSO_SLG_Fault,6.0,5,6,"[6, 8, 2]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus07,SSO_SLG_Fault,7.0,6,7,"[7, 5, 2]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus08,SSO_SLG_Fault,8.0,7,8,"[8, 6, 5]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus09,SSO_SLG_Fault,9.0,8,9,"[9, 22, 11]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus10,SSO_SLG_Fault,10.0,9,10,"[10, 9, 22]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus11,SSO_SLG_Fault,11.0,10,11,"[11, 9, 22]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus12,SSO_SLG_Fault,12.0,11,12,"[12, 13, 15]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus13,SSO_SLG_Fault,13.0,12,13,"[13, 12, 11]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus14,SSO_SLG_Fault,14.0,13,14,"[14, 2, 25]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus15,SSO_SLG_Fault,15.0,14,15,"[15, 13, 12]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus16,SSO_SLG_Fault,16.0,15,16,"[16, 13, 12]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus17,SSO_SLG_Fault,17.0,16,17,"[17, 9, 22]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus18,SSO_SLG_Fault,18.0,17,18,"[18, 20, 25]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus19,SSO_SLG_Fault,19.0,18,19,"[19, 20, 25]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus20,SSO_SLG_Fault,20.0,19,20,"[20, 19, 25]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus21,SSO_SLG_Fault,21.0,20,21,"[21, 9, 22]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus22,SSO_SLG_Fault,22.0,21,22,"[22, 9, 21]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus23,SSO_SLG_Fault,23.0,22,23,"[23, 9, 22]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus24,SSO_SLG_Fault,24.0,23,24,"[24, 22, 9]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus25,SSO_SLG_Fault,25.0,24,25,"[25, 27, 9]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus26,SSO_SLG_Fault,26.0,25,26,"[26, 25, 29]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus27,SSO_SLG_Fault,27.0,26,27,"[27, 22, 29]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus28,SSO_SLG_Fault,28.0,27,28,"[28, 6, 8]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus29,SSO_SLG_Fault,29.0,28,29,"[29, 27, 30]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus30,SSO_SLG_Fault,30.0,29,30,"[30, 29, 27]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus01,SSO_ThreePhase_Fault,1.0,30,1,"[1, 3, 9]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus02,SSO_ThreePhase_Fault,2.0,31,2,"[2, 8, 11]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus03,SSO_ThreePhase_Fault,3.0,32,3,"[3, 9, 1]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus04,SSO_ThreePhase_Fault,4.0,33,4,"[4, 8, 5]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus05,SSO_ThreePhase_Fault,5.0,34,5,"[5, 8, 11]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus06,SSO_ThreePhase_Fault,6.0,35,6,"[6, 9, 28]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus07,SSO_ThreePhase_Fault,7.0,36,7,"[7, 28, 1]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus08,SSO_ThreePhase_Fault,8.0,37,8,"[8, 5, 11]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus09,SSO_ThreePhase_Fault,9.0,38,9,"[9, 22, 10]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus10,SSO_ThreePhase_Fault,10.0,39,10,"[10, 9, 22]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus11,SSO_ThreePhase_Fault,11.0,40,11,"[11, 8, 5]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus12,SSO_ThreePhase_Fault,12.0,41,12,"[12, 15, 9]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus13,SSO_ThreePhase_Fault,13.0,42,13,"[13, 11, 8]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus14,SSO_ThreePhase_Fault,14.0,43,14,"[14, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus15,SSO_ThreePhase_Fault,15.0,44,15,"[15, 9, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus16,SSO_ThreePhase_Fault,16.0,45,16,"[16, 14, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus17,SSO_ThreePhase_Fault,17.0,46,17,"[17, 9, 22]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus18,SSO_ThreePhase_Fault,18.0,47,18,"[18, 9, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus19,SSO_ThreePhase_Fault,19.0,48,19,"[19, 9, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus20,SSO_ThreePhase_Fault,20.0,49,20,"[20, 9, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus21,SSO_ThreePhase_Fault,21.0,50,21,"[21, 22, 9]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus22,SSO_ThreePhase_Fault,22.0,51,22,"[22, 9, 21]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus23,SSO_ThreePhase_Fault,23.0,52,23,"[23, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus24,SSO_ThreePhase_Fault,24.0,53,24,"[24, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus25,SSO_ThreePhase_Fault,25.0,54,25,"[25, 27, 24]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus26,SSO_ThreePhase_Fault,26.0,55,26,"[26, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus27,SSO_ThreePhase_Fault,27.0,56,27,"[27, 25, 28]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus28,SSO_ThreePhase_Fault,28.0,57,28,"[28, 27, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus29,SSO_ThreePhase_Fault,29.0,58,29,"[29, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus30,SSO_ThreePhase_Fault,30.0,59,30,"[30, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,0,5,"[5, 2, 3]",SSO_SLG_Fault,30.73926121345681,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,1,5,"[5, 1, 3]",SSO_SLG_Fault,28.38873836872818,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,2,2,"[2, 5, 1]",SSO_SLG_Fault,32.29214807910466,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,3,6,"[6, 2, 8]",SSO_SLG_Fault,38.21601331766266,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,4,2,"[2, 1, 7]",SSO_SLG_Fault,28.38873836872818,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus06,SSO_SLG_Fault,6.0,5,8,"[8, 2, 4]",SSO_SLG_Fault,36.950524515423105,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus07,SSO_SLG_Fault,7.0,6,5,"[5, 2, 1]",SSO_SLG_Fault,32.99394902667801,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus08,SSO_SLG_Fault,8.0,7,6,"[6, 5, 2]",SSO_SLG_Fault,36.950524515423105,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus09,SSO_SLG_Fault,9.0,8,22,"[22, 11, 21]",SSO_SLG_Fault,25.808631851163437,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus10,SSO_SLG_Fault,10.0,9,9,"[9, 22, 21]",SSO_SLG_Fault,29.571902787112563,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus11,SSO_SLG_Fault,11.0,10,9,"[9, 22, 13]",SSO_SLG_Fault,27.10343810781882,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus12,SSO_SLG_Fault,12.0,11,13,"[13, 15, 9]",SSO_SLG_Fault,29.494376631399394,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus13,SSO_SLG_Fault,13.0,12,12,"[12, 11, 16]",SSO_SLG_Fault,29.494376631399394,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus14,SSO_SLG_Fault,14.0,13,2,"[2, 25, 5]",SSO_SLG_Fault,43.8454613245705,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus15,SSO_SLG_Fault,15.0,14,13,"[13, 12, 9]",SSO_SLG_Fault,36.17576682868112,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus16,SSO_SLG_Fault,16.0,15,13,"[13, 12, 23]",SSO_SLG_Fault,32.59643258018378,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus17,SSO_SLG_Fault,17.0,16,9,"[9, 22, 11]",SSO_SLG_Fault,29.72739731413124,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus18,SSO_SLG_Fault,18.0,17,20,"[20, 25, 19]",SSO_SLG_Fault,39.75996042358825,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus19,SSO_SLG_Fault,19.0,18,20,"[20, 25, 9]",SSO_SLG_Fault,38.06417505564072,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus20,SSO_SLG_Fault,20.0,19,19,"[19, 25, 18]",SSO_SLG_Fault,38.06417505564072,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus21,SSO_SLG_Fault,21.0,20,9,"[9, 22, 10]",SSO_SLG_Fault,27.553146913691524,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus22,SSO_SLG_Fault,22.0,21,9,"[9, 21, 10]",SSO_SLG_Fault,25.808631851163437,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus23,SSO_SLG_Fault,23.0,22,9,"[9, 22, 13]",SSO_SLG_Fault,33.41977428767574,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus24,SSO_SLG_Fault,24.0,23,22,"[22, 9, 27]",SSO_SLG_Fault,32.22396124490145,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus25,SSO_SLG_Fault,25.0,24,27,"[27, 9, 19]",SSO_SLG_Fault,33.61263547552041,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus26,SSO_SLG_Fault,26.0,25,25,"[25, 29, 27]",SSO_SLG_Fault,39.76398777947776,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus27,SSO_SLG_Fault,27.0,26,22,"[22, 29, 9]",SSO_SLG_Fault,31.754893474566305,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus28,SSO_SLG_Fault,28.0,27,6,"[6, 8, 2]",SSO_SLG_Fault,44.19879259666931,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus29,SSO_SLG_Fault,29.0,28,27,"[27, 30, 11]",SSO_SLG_Fault,31.784298630762404,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus30,SSO_SLG_Fault,30.0,29,29,"[29, 27, 13]",SSO_SLG_Fault,32.388339435246124,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus01,SSO_ThreePhase_Fault,1.0,30,3,"[3, 9, 28]",SSO_ThreePhase_Fault,44.22456423467023,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus02,SSO_ThreePhase_Fault,2.0,31,8,"[8, 11, 13]",SSO_ThreePhase_Fault,94.46351716120313,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus03,SSO_ThreePhase_Fault,3.0,32,9,"[9, 1, 28]",SSO_ThreePhase_Fault,42.785731343249616,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus04,SSO_ThreePhase_Fault,4.0,33,8,"[8, 5, 11]",SSO_ThreePhase_Fault,81.69960456931038,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus05,SSO_ThreePhase_Fault,5.0,34,8,"[8, 11, 9]",SSO_ThreePhase_Fault,49.56905542132254,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus06,SSO_ThreePhase_Fault,6.0,35,9,"[9, 28, 28]",SSO_ThreePhase_Fault,114.57110258935067,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus07,SSO_ThreePhase_Fault,7.0,36,28,"[28, 1, 9]",SSO_ThreePhase_Fault,46.09706727787753,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus08,SSO_ThreePhase_Fault,8.0,37,5,"[5, 11, 13]",SSO_ThreePhase_Fault,49.56905542132254,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus09,SSO_ThreePhase_Fault,9.0,38,22,"[22, 10, 21]",SSO_ThreePhase_Fault,33.18136263438604,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus10,SSO_ThreePhase_Fault,10.0,39,9,"[9, 22, 21]",SSO_ThreePhase_Fault,35.820256301989566,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus11,SSO_ThreePhase_Fault,11.0,40,8,"[8, 5, 13]",SSO_ThreePhase_Fault,55.155445047339626,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus12,SSO_ThreePhase_Fault,12.0,41,15,"[15, 9, 25]",SSO_ThreePhase_Fault,45.357273053313286,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus13,SSO_ThreePhase_Fault,13.0,42,11,"[11, 8, 5]",SSO_ThreePhase_Fault,60.010324340741064,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus14,SSO_ThreePhase_Fault,14.0,43,25,"[25, 27, 16]",SSO_ThreePhase_Fault,44.4915340526046,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus15,SSO_ThreePhase_Fault,15.0,44,9,"[9, 27, 25]",SSO_ThreePhase_Fault,42.09465438011417,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus16,SSO_ThreePhase_Fault,16.0,45,14,"[14, 25, 27]",SSO_ThreePhase_Fault,46.20372788753035,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus17,SSO_ThreePhase_Fault,17.0,46,9,"[9, 22, 25]",SSO_ThreePhase_Fault,39.02196078847305,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus18,SSO_ThreePhase_Fault,18.0,47,9,"[9, 25, 19]",SSO_ThreePhase_Fault,42.92809750860684,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus19,SSO_ThreePhase_Fault,19.0,48,9,"[9, 25, 20]",SSO_ThreePhase_Fault,42.22026583784723,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus20,SSO_ThreePhase_Fault,20.0,49,9,"[9, 25, 22]",SSO_ThreePhase_Fault,41.285945387503915,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus21,SSO_ThreePhase_Fault,21.0,50,22,"[22, 9, 25]",SSO_ThreePhase_Fault,34.96416401796834,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus22,SSO_ThreePhase_Fault,22.0,51,9,"[9, 21, 25]",SSO_ThreePhase_Fault,33.18136263438604,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus23,SSO_ThreePhase_Fault,23.0,52,25,"[25, 27, 9]",SSO_ThreePhase_Fault,40.047696458541395,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus24,SSO_ThreePhase_Fault,24.0,53,25,"[25, 27, 22]",SSO_ThreePhase_Fault,36.89985326419922,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus25,SSO_ThreePhase_Fault,25.0,54,27,"[27, 24, 22]",SSO_ThreePhase_Fault,21.016306069920603,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus26,SSO_ThreePhase_Fault,26.0,55,25,"[25, 27, 30]",SSO_ThreePhase_Fault,42.099162233632185,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus27,SSO_ThreePhase_Fault,27.0,56,25,"[25, 28, 22]",SSO_ThreePhase_Fault,21.016306069920603,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus28,SSO_ThreePhase_Fault,28.0,57,27,"[27, 25, 9]",SSO_ThreePhase_Fault,37.01070432598549,strict_loo,False,False,True,True
SSO_ThreePhase_Fault_Bus29,SSO_ThreePhase_Fault,29.0,58,25,"[25, 27, 30]",SSO_ThreePhase_Fault,40.65804186776581,strict_loo,False,False,False,False
SSO_ThreePhase_Fault_Bus30,SSO_ThreePhase_Fault,30.0,59,25,"[25, 27, 29]",SSO_ThreePhase_Fault,41.318215898948566,strict_loo,False,False,False,False
