k,Method,SelectedBuses,macro_f1,balanced_accuracy,normal_recall,LoadSwitch_recall,fault_precision,SLG_recall,ThreePhase_recall
1,dv_energy greedy (existing LOO),[8],1.0,1.0,1.0,1.0,1.0,,
2,dv_energy greedy (existing LOO),"[8, 28]",1.0,1.0,1.0,1.0,1.0,,
3,dv_energy greedy (existing LOO),"[8, 28, 2]",1.0,1.0,1.0,1.0,1.0,,
4,dv_energy greedy (existing LOO),"[8, 28, 2, 6]",1.0,1.0,1.0,1.0,1.0,,
5,dv_energy greedy (existing LOO),"[8, 28, 2, 6, 7]",1.0,1.0,1.0,1.0,1.0,,
6,dv_energy greedy (existing LOO),"[8, 28, 2, 6, 7, 5]",1.0,1.0,1.0,1.0,1.0,,
7,dv_energy greedy (existing LOO),"[8, 28, 2, 6, 7, 5, 4]",1.0,1.0,1.0,1.0,1.0,,
8,dv_energy greedy (existing LOO),"[8, 28, 2, 6, 7, 5, 4, 3]",1.0,1.0,1.0,1.0,1.0,,
9,dv_energy greedy (existing LOO),"[8, 28, 2, 6, 7, 5, 4, 3, 27]",1.0,1.0,1.0,1.0,1.0,,
10,dv_energy greedy (existing LOO),"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1]",1.0,1.0,1.0,1.0,1.0,,
1,feature-aware greedy (existing LOO),[1],1.0,1.0,1.0,1.0,1.0,,
2,feature-aware greedy (existing LOO),"[1, 2]",1.0,1.0,1.0,1.0,1.0,,
3,feature-aware greedy (existing LOO),"[1, 2, 3]",1.0,1.0,1.0,1.0,1.0,,
4,feature-aware greedy (existing LOO),"[1, 2, 3, 4]",1.0,1.0,1.0,1.0,1.0,,
5,feature-aware greedy (existing LOO),"[1, 2, 3, 4, 5]",1.0,1.0,1.0,1.0,1.0,,
6,feature-aware greedy (existing LOO),"[1, 2, 3, 4, 5, 6]",1.0,1.0,1.0,1.0,1.0,,
7,feature-aware greedy (existing LOO),"[1, 2, 3, 4, 5, 6, 7]",1.0,1.0,1.0,1.0,1.0,,
8,feature-aware greedy (existing LOO),"[1, 2, 3, 4, 5, 6, 7, 8]",1.0,1.0,1.0,1.0,1.0,,
9,feature-aware greedy (existing LOO),"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.0,1.0,1.0,1.0,1.0,,
10,feature-aware greedy (existing LOO),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0,1.0,1.0,1.0,1.0,,
1,diagnostic single-bus rank,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,diagnostic dv-energy rank,[13],0.9899487583760347,0.9916666666666667,1.0,1.0,1.0,0.9666666666666667,1.0
1,grouped CV feature-aware rank,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,random mean,,0.994652710518366,0.9949999999999999,1.0,1.0,1.0,0.9933333333333334,0.9866666666666667
1,random min,,0.9833147942157954,0.9833333333333334,1.0,1.0,1.0,0.9666666666666667,0.9333333333333333
1,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
2,diagnostic single-bus rank,"[1, 2]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,diagnostic dv-energy rank,"[13, 28]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,grouped CV feature-aware rank,"[1, 2]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
3,diagnostic single-bus rank,"[1, 2, 4]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,diagnostic dv-energy rank,"[13, 28, 4]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,grouped CV feature-aware rank,"[1, 2, 4]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
4,diagnostic single-bus rank,"[1, 2, 4, 5]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,diagnostic dv-energy rank,"[13, 28, 4, 6]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,grouped CV feature-aware rank,"[1, 2, 4, 5]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
5,diagnostic single-bus rank,"[1, 2, 4, 5, 6]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,diagnostic dv-energy rank,"[13, 28, 4, 6, 8]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,grouped CV feature-aware rank,"[1, 2, 4, 5, 6]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
6,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
7,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7, 8]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7, 2]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7, 8]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
8,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7, 8, 9]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7, 2, 15]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7, 8, 9]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,random mean,,0.9983328702417339,0.9983333333333334,1.0,1.0,1.0,1.0,0.9933333333333334
8,random min,,0.9916643512086691,0.9916666666666667,1.0,1.0,1.0,1.0,0.9666666666666667
8,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
9,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7, 8, 9, 11]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7, 2, 15, 3]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7, 8, 9, 11]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
10,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 12]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7, 2, 15, 3, 1]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 12]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
