Bus,Validation,macro_f1,balanced_accuracy,normal_recall,LoadSwitch_recall,fault_precision,SLG_recall,ThreePhase_recall,ConfusionMatrix
1,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
2,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
3,stratified_3fold,0.9833147942157954,0.9833333333333334,1.0,1.0,1.0,1.0,0.9333333333333333,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 2,28]]"
4,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
5,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
6,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
7,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
8,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
9,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
10,stratified_3fold,0.9898040783686526,0.9880952380952381,1.0,0.9523809523809523,0.9836065573770492,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,20, 0, 1],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
11,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
12,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
13,stratified_3fold,0.9899487583760347,0.9916666666666667,1.0,1.0,1.0,0.9666666666666667,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 1,29, 0],
 [ 0, 0, 0,30]]"
14,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
15,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
16,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
17,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
18,stratified_3fold,0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0,"[[ 3, 0, 0, 0],
 [ 0,20, 0, 1],
 [ 0, 1,29, 0],
 [ 0, 0, 0,30]]"
19,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
20,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
21,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
22,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
23,stratified_3fold,0.9814707450353193,0.9797619047619048,1.0,0.9523809523809523,0.9836065573770492,1.0,0.9666666666666667,"[[ 3, 0, 0, 0],
 [ 0,20, 0, 1],
 [ 0, 0,30, 0],
 [ 0, 0, 1,29]]"
24,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
25,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
26,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
27,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
28,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
29,stratified_3fold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,21, 0, 0],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
30,stratified_3fold,0.9898040783686526,0.9880952380952381,1.0,0.9523809523809523,0.9836065573770492,1.0,1.0,"[[ 3, 0, 0, 0],
 [ 0,20, 0, 1],
 [ 0, 0,30, 0],
 [ 0, 0, 0,30]]"
